Id,Label,id_artista,popularidad,generos_musicales,genero,Grado,Intermediatez,Cercania,Grado,Intermediatez,Cercania
FMK,FMK,spotify:artist:0dUyjgCyjfj5eMx6bX2TWf,67,['Trap'],male,28,0.0042234710325968,0.2060002970444081,28,0.004223471032596804,0.20600029704440814
Emilia,Emilia,spotify:artist:0AqlFI0tz2DsEoJlKSIiT9,69,['Pop'],female,9,1.63994051687024e-05,0.1999423381865359,9,1.63994051687024e-05,0.19994233818653598
Emkier,Emkier,spotify:artist:5yEDqRhb3ABb25Of0IYpcn,38,[],male,10,0.0,0.1734617308654327,10,0.0,0.1734617308654327
Lara91k,Lara91k,spotify:artist:2zPvDg6LI6NHPQVQIESjfW,49,"['R&B', 'Alternative']",female,13,0.0013542500374725,0.1995109321058688,13,0.0013542500374725788,0.19951093210586882
Rei,Rei,spotify:artist:4IG1SDlwgNKzqTmjBrvY3K,71,['Trap'],male,10,0.0001941925018349,0.2078836930455635,10,0.00019419250183490394,0.20788369304556356
Obie Wanshot,Obie Wanshot,spotify:artist:48vP5SxlTO6yOI7SLKIOQV,54,['Trap'],male,28,0.0004950510655519,0.2100242277407631,28,0.0004950510655519344,0.21002422774076318
Neo Pistea,Neo Pistea,spotify:artist:01m2XZ7m7rAz6KY3scTdaV,62,"['Trap', 'HipHop']",male,75,0.0069154436778132,0.2272652793708012,75,0.006915443677813261,0.22726527937080124
CLUB HATS,CLUB HATS,spotify:artist:3Nk2mAv4k4ZOzrP5tpXL2G,61,[],male,46,0.0001966554104528,0.2052078709868323,46,0.0001966554104528129,0.20520787098683238
Marcianos Crew,Marcianos Crew,spotify:artist:0Hkx0YcHHxDRRbH9WsSW0I,52,"['Trap', 'HipHop', 'Rap']",male,30,0.0078567448589558,0.2257854468500732,30,0.007856744858955846,0.22578544685007326
MYA,MYA,spotify:artist:5Rj6rNR8zIlUUDCs1OyPmW,63,['Pop'],No se el género,10,0.0025663988185442,0.2303221521089339,10,0.0025663988185442837,0.23032215210893392
Vicentico,Vicentico,spotify:artist:25THA9HUHoxpCT4LBp7UsZ,63,"['Pop', 'Rock', 'Reggae', 'Alternative']",male,17,0.0441402656700114,0.2852148879292617,17,0.04414026567001141,0.28521488792926175
La Bomba de Tiempo,La Bomba de Tiempo,spotify:artist:2kzyHS3WRPwclRl5gsydu8,37,['Reggae'],No se el género,11,0.0059171630527648,0.2402147558018704,11,0.0059171630527648485,0.24021475580187046
Chulu,Chulu,spotify:artist:1VAc90Avnm4J5j2cYu5RVB,47,['Rap'],No se el género,12,0.0002203219884746,0.1952696043925102,12,0.0002203219884746354,0.1952696043925102
