Id,Label,timeset,id_artista,popularidad,generos_musicales,genero,louvain,infomap,modularity_class
Jimmy Y Su Combo Negro,Jimmy Y Su Combo Negro,,spotify:artist:2Kos2hpYxoC9itiKmODwNY,37,['Cumbia'],NA,0,71,0
La Mona Jimenez,La Mona Jimenez,,spotify:artist:64DFKvGarD5nmkfaIiiakf,51,[],male,1,71,5
Axel Martinez,Axel Martinez,,spotify:artist:2t1ZsbDZvUzguvptvRZvpn,16,[],male,0,151,0
Tomy DJ,Tomy DJ,,spotify:artist:6e7knXUrhWcp85TTN6za9z,59,"['Pop', 'Cumbia']",male,0,235,0
Matt Lasong,Matt Lasong,,spotify:artist:3ooeOAsZUBeK0cHNpIclu2,20,[],NA,0,330,0
Alejandro Lerner,Alejandro Lerner,,spotify:artist:6ESkuwldylZr39AIAPC63J,57,"['Pop', 'Rock']",male,1,55,5
Ivan Noble,Ivan Noble,,spotify:artist:2MfTaq5E3ClttaUjoBdI6p,45,"['Pop', 'Rock', 'Alternative']",male,1,159,5
El Retutu,El Retutu,,spotify:artist:3WSePpVeFAwNAI4vQc19rG,48,[],male,0,53,0
Karen Méndez,Karen Méndez,,spotify:artist:0txXDZCdXBzha20sgN1GRk,50,"['Pop', 'Rap']",female,0,53,0
0-600,0-600,,spotify:artist:07Hm9w6ksRaggaDBpN8RRd,36,"['Trap', 'HipHop']",NA,0,236,0
Coqeéin Montana,Coqeéin Montana,,spotify:artist:4StQh17zinsbJ4r5ekmPj7,49,"['Trap', 'HipHop']",male,0,155,0
Fianru,Fianru,,spotify:artist:6RAj8Czs5jmwbbXU7r2SmW,36,['Rap'],male,0,153,0
Contra Las Cuerdas,Contra Las Cuerdas,,spotify:artist:48HhU4LgR1aVU5ci8tuf4x,8,"['Rap', 'Alternative']",NA,0,153,0
Valeria Bertuccelli,Valeria Bertuccelli,,spotify:artist:1Kz4kgtxJWKTmi4w2ZnDEN,37,[],female,1,18,6
Santiago Motorizado,Santiago Motorizado,,spotify:artist:1ldpEB62bhHdKBLnaYYLvs,37,['Alternative'],male,1,9,13
Las manos de Filippi,Las manos de Filippi,,spotify:artist:53Ik4pv6iE2gZ7Xc4BKlFJ,35,"['Rock', 'Metal', 'Alternative']",NA,2,75,13
Mati Zapata,Mati Zapata,,spotify:artist:5DheECcZFmCsUMX5U354A1,6,[],male,3,37,5
Kevin Johansen,Kevin Johansen,,spotify:artist:7qjoG7bwhAjSd7nJTcjgAk,55,"['Pop', 'Cumbia', 'Rock', 'Alternative']",male,5,237,13
Fito Paez,Fito Paez,,spotify:artist:1bZNv4q3OxYq7mmnLha7Tu,64,"['Pop', 'Tango', 'Rock', 'Alternative']",male,4,27,6
Fernando Ruiz Diaz,Fernando Ruiz Diaz,,spotify:artist:4DqWhVhkmy4QC5d32i591c,30,"['Pop', 'Tango', 'Rock', 'Metal']",male,10,76,13
Luis Salinas,Luis Salinas,,spotify:artist:6lfuGeSEIAZl1WlXN3lSjk,36,"['Jazz', 'Tango', 'Folklore', 'Rock']",male,3,1,5
Luis Alberto Spinetta,Luis Alberto Spinetta,,spotify:artist:1MuQ2m2tg7naeRGAOxYZer,57,"['Jazz', 'Tango', 'Rock', 'Punk', 'Alternative']",male,4,160,6
Pablo Mainetti,Pablo Mainetti,,spotify:artist:15lQ51CRGD5wu2f8Pmw9sZ,13,[],male,15,107,7
Leopoldo Federico,Leopoldo Federico,,spotify:artist:3RibY876FBPC7kuqm4YqzJ,22,['Tango'],male,10,161,8
Astor Piazzolla,Astor Piazzolla,,spotify:artist:7dsugSamBB7enWE2IrlbFg,48,['Tango'],male,10,0,1
Rodrigo Puente,Rodrigo Puente,,spotify:artist:71ywCmB4SgVeQnjyKhgx5u,13,[],male,0,152,0
Alex Hoyer,Alex Hoyer,,spotify:artist:45ztMs8dTg6GRQ41yY4xtr,43,['Pop'],male,0,228,0
Said,Said,,spotify:artist:4IXpKvMb4jsNyMKlXBtWSR,31,[],male,0,74,0
Dabow,Dabow,,spotify:artist:6GQx1heM2wyI3iHpAC5P8X,23,['Trap'],male,0,74,0
Enlace Styla,Enlace Styla,,spotify:artist:75Coyh7oHNwQcgKiGUhDp0,3,[],NA,0,154,0
Ideal,Ideal,,spotify:artist:07omkIhgrCUOLXq4xW6p5g,0,[],NA,0,154,0
Los Nocheros,Los Nocheros,,spotify:artist:2ydE5oBt6cwsDxH1TpIFmO,54,"['Folklore', 'Rock']",NA,1,234,6
Chaqueño Palavecino,Chaqueño Palavecino,,spotify:artist:1GlOpg3dPUft550esb82K3,56,"['Cumbia', 'Folklore']",male,2,111,6
Coti,Coti,,spotify:artist:1OUDQLymoysITxprkd0Qvj,62,"['Pop', 'Rock']",male,1,56,6
Los Auténticos Decadentes,Los Auténticos Decadentes,,spotify:artist:3HrbmsYpKjWH1lzhad7alj,67,"['Rock', 'Alternative']",NA,2,18,13
La Delio Valdez,La Delio Valdez,,spotify:artist:3tzacGOmngxUV8W8lU9h3Q,59,['Cumbia'],NA,7,238,6
Valeria Lynch,Valeria Lynch,,spotify:artist:60zawKIAJS16ul7OSY91wM,44,"['Jazz', 'Pop', 'Tango', 'Rock']",female,1,162,6
Mariano Martinez,Mariano Martinez,,spotify:artist:1CL1NnuyndaL52YgyPVL73,24,[],male,1,104,6
Jeebz,Jeebz,,spotify:artist:5lXbNbyacKy56O5sDsDQHG,1,[],NA,0,155,0
