Id,Label,id_artista,popularidad,generos_musicales,genero,betweenness
Oscar Larroca,Oscar Larroca,spotify:artist:4TGsXIntcGStdQyNQCIniQ,29,['Tango'],male,2
Buenos Aires Jazz Fusión,Buenos Aires Jazz Fusión,spotify:artist:5WkNpxBJwdpuRQ5dHtm6yV,0,['Jazz'],NA,0
Roberto Diaz Velado,Roberto Diaz Velado,spotify:artist:0G4tRT4eRJ0nJp8AVsccMI,1,['Reggae'],male,7
Pablo Molina,Pablo Molina,spotify:artist:1PoD7Jl0frSiDWXY5Qt0fB,32,['Reggae'],male,7
Fernando Albareda,Fernando Albareda,spotify:artist:7i1IHNIYGFQTlmpl7J90qP,0,['Reggae'],male,7
Micaela Chauque,Micaela Chauque,spotify:artist:6kXy0aOhcZi7ee7NIQmKFX,19,['Folklore'],female,7
Americo Belloto,Americo Belloto,spotify:artist:4GXUQib0hca7HZuASToGmq,6,['Reggae'],male,7
Juan Ignacio Sueyro,Juan Ignacio Sueyro,spotify:artist:39Ak02Gh3WgYNdvlovjqpJ,0,"['Tango', 'Folklore']",male,0
Nicolás Enrich,Nicolás Enrich,spotify:artist:2o0lt2fIeC0GqqqEqEBje0,2,"['Tango', 'Folklore']",male,1
Daniel Maza,Daniel Maza,spotify:artist:5TI8IZa6vgPAcb8wuMZfN7,26,['Jazz'],male,0
Escalandrum,Escalandrum,spotify:artist:3QZEbpYuO36TVmqHEbxpkZ,19,['Jazz'],NA,0
Tango Negro Trio,Tango Negro Trio,spotify:artist:7LryQ2tTP3oJ4sqKGb1XEC,17,['Tango'],NA,6
Franco Ramirez,Franco Ramirez,spotify:artist:3wtmjgdgUKVK3tonnKSh9a,28,['Folklore'],male,6
Facundo Gimenez,Facundo Gimenez,spotify:artist:4chtvevsOwC1gy8kHdNAeG,1,['Folklore'],male,6
Juan Esteban Cuacci,Juan Esteban Cuacci,spotify:artist:2MAbPufKz41fz0iFvcFmGP,10,['Tango'],male,1
Osvaldo Berlingieri,Osvaldo Berlingieri,spotify:artist:6ZCEriaoNM29iADfHMGNHX,1,['Tango'],male,1
Guillermo Fernández,Guillermo Fernández,spotify:artist:6xfmmECT5pVOvnCeXt6saI,12,['Tango'],male,1
Marcelo Nisinman,Marcelo Nisinman,spotify:artist:5tfniwIvolU1ekmwVaDgUT,3,['Tango'],male,1
Christian Zárate,Christian Zárate,spotify:artist:0vStKEWgyh5Zde2cVW3Vkw,0,['Tango'],male,1
Horacio Romo,Horacio Romo,spotify:artist:6ArcXkBCCZaU7y3Vlgd92E,4,"['Pop', 'Rock']",male,0
Tito Losavio,Tito Losavio,spotify:artist:41H3YL5GbiPWJ3OluCZvn4,3,"['Pop', 'Rock']",male,10
Zaida Saiace,Zaida Saiace,spotify:artist:6mRCTsGXWohbxRHA2P0kvQ,0,['Tango'],female,0
Pablo Green,Pablo Green,spotify:artist:1WUyXFyGvDeRfUqvPYbdgY,0,"['Jazz', 'Rock']",male,0
Gillespi,Gillespi,spotify:artist:0lTOO8myl6VcmOP43pbuVb,31,"['Jazz', 'Rock']",male,3
Sergio Aranda,Sergio Aranda,spotify:artist:13hURQTnYpyln73wOwT0cV,0,"['Jazz', 'Pop', 'Tango', 'Rock']",male,0
Fernando Gelbard,Fernando Gelbard,spotify:artist:2su6TFhMEfmKwuvKsnVsGK,2,"['Jazz', 'Tango', 'Folklore']",NA,0
Pocho Lapouble,Pocho Lapouble,spotify:artist:2ROeRcXLXw8Ic9SEZOyw0T,1,['Jazz'],male,0
Lucía Boffo,Lucía Boffo,spotify:artist:4okRwzOTkHW7n6373ZvZOV,8,['Jazz'],female,0
Gustavo Musso,Gustavo Musso,spotify:artist:4OyrnRvPB0hgGlAE0LGr0i,1,['Jazz'],male,0
Cecilia Zabala,Cecilia Zabala,spotify:artist:6eqOpzqZRWWVxv31nYX3Ku,5,['Folklore'],NA,0
Liliana Rodriguez,Liliana Rodriguez,spotify:artist:5x91kr7sHnbGC8JaPT3ZSu,1,['Folklore'],female,0
Javier Hinojosa,Javier Hinojosa,spotify:artist:2qffkq944KRDcs4st4tqmk,0,['Folklore'],male,0
Lilián Saba,Lilián Saba,spotify:artist:2gAD59G4XLst9KbnHVD3Jo,10,"['Jazz', 'Tango', 'Chamame']",female,0
Hernán Lucero,Hernán Lucero,spotify:artist:001b4VR8r9cFgS3vKTkTXs,9,['Folklore'],male,0
Karamelo Santo,Karamelo Santo,spotify:artist:609ifGTYnL9iOfPI5KIzq1,36,"['Folklore', 'Rock', 'Punk', 'Alternative']",NA,3
Lovorne,Lovorne,spotify:artist:1HJyorSX0NYIkc2Vp0U8y6,18,['Metal'],NA,9
Vivencia,Vivencia,spotify:artist:65IXQZtLc1OfW8H9YxRFwY,22,['Rock'],NA,3
Fede Toledo,Fede Toledo,spotify:artist:6piQwNfaoxQBj6katm77rF,6,['Folklore'],male,0
"Miguel ""Maikel"" de luna campos","Miguel ""Maikel"" de luna campos",spotify:artist:7tfLCIPwrDXAqnG2kuQQ9M,8,"['Trap', 'HipHop', 'Rap']",male,5
Leo Villagra,Leo Villagra,spotify:artist:3ycKrdRHFlTCN9kOGtFzJL,3,"['Jazz', 'Pop', 'Tango', 'Rock']",NA,0
Waldo De Los Rios Y Su Orquesta,Waldo De Los Rios Y Su Orquesta,spotify:artist:150ZSy8q8QpfBMpRdbwMkN,14,"['Folklore', 'Rock']",male,0
Florencia Ruiz,Florencia Ruiz,spotify:artist:2LpUM08iUKWPGOc1qoWMBt,9,"['Jazz', 'Pop', 'Rock', 'Punk']",female,13
Sergio Mihanovich,Sergio Mihanovich,spotify:artist:2hPO6aP9HU0QsxpqYqNNCY,6,['Jazz'],male,0
Ezequiel Dutil,Ezequiel Dutil,spotify:artist:4Uk7IbNNwUXxEuE1j4OUV5,0,"['Jazz', 'Pop', 'Tango', 'Rock']",male,0
Rodrigo Reparaz,Rodrigo Reparaz,spotify:artist:7x9F455LEsi4uYT86T5u01,0,"['Jazz', 'Pop', 'Tango', 'Rock']",male,0
Elena Roger,Elena Roger,spotify:artist:3i3ZiJGsP5tkz69ad7Mbie,30,['Rock'],female,0
Chizzo Napoli,Chizzo Napoli,spotify:artist:2qmC2VNLa1YWpVBKKIoOSR,3,['Rock'],male,0
Mery Granados,Mery Granados,spotify:artist:0aJgv15DVDKvr0yWb5BzP1,40,['Pop'],female,0
Gabriel Pedernera,Gabriel Pedernera,spotify:artist:1I7I2jfVn3KvuAi49h01Gr,2,['Rock'],male,0
Nicolás Pauls,Nicolás Pauls,spotify:artist:4MBkJeYHk9BrXweGoyuT94,3,"['Pop', 'Rock']",male,10
Fernando,Fernando,spotify:artist:2Qw51ZLllblaJ5rG1n1uDz,14,"['Pop', 'Rock']",male,0
Joaquín Mora,Joaquín Mora,spotify:artist:1egHMzg1ZA4mmy8tEkvWlu,1,['Tango'],male,0
Eduardo Lagos,Eduardo Lagos,spotify:artist:5xQYGNmnIiV7verfzMo8Vo,12,['Tango'],male,0
Victoria Diaz,Victoria Diaz,spotify:artist:0kEZzMtFu8S1Aw42xEh8Mc,1,['Tango'],NA,0
Horacio Lavandera,Horacio Lavandera,spotify:artist:6InVsS0LwuWOaxHomvrb4i,6,"['Jazz', 'Tango']",male,1
Jose Pascual,Jose Pascual,spotify:artist:30vzYEXtd0A2YavGMHvm6f,0,"['Jazz', 'Tango']",male,1
José Maria Saluzzi,José Maria Saluzzi,spotify:artist:1RqTs0wVgedlrmrMWnfaVb,2,"['Jazz', 'Tango']",NA,1
Osvaldo Avena,Osvaldo Avena,spotify:artist:5QCf4oRYqs4RTtfYa1lCvN,0,['Folklore'],male,0
Jorge Navarro,Jorge Navarro,spotify:artist:0AcplqB50fO2m9SiFNIsSg,25,['Jazz'],male,0
Amor Elefante,Amor Elefante,spotify:artist:5DboBy35CJ1kezDm1ebqbC,20,['Alternative'],NA,0
Manuel Gomez Carrillo,Manuel Gomez Carrillo,spotify:artist:7IloQOZyD1o3maZVuraAuH,0,['Tango'],male,1
Juan José Castro,Juan José Castro,spotify:artist:4KCKdpRgRq7yB8xY8TqJQf,1,['Clasico'],male,1
Alberto Williams,Alberto Williams,spotify:artist:11kKasV6eRUQnuIouit02q,4,['Tango'],male,1
Carlos López Buchardo,Carlos López Buchardo,spotify:artist:6zUBSpxpy1cnD780uW7eTL,1,['Clasico'],male,1
Julián Aguirre,Julián Aguirre,spotify:artist:3X6vHZOesj37sEvr6BpIQl,5,['Tango'],male,1
Juan Cruz De Urquiza,Juan Cruz De Urquiza,spotify:artist:0nRwYzrk9wrf5ZIsvPuxwl,7,['Jazz'],male,0
Julian Vat,Julian Vat,spotify:artist:4M4t83Uxn91yBiGixmBPBK,1,['Tango'],male,0
Julia Morgado,Julia Morgado,spotify:artist:5hwPkYXCRSJkuh97oenEU4,2,['Tango'],female,0
CLAUDIO MORGADO,CLAUDIO MORGADO,spotify:artist:0w5aTgdGsNbaodNAg1kXpK,0,['Tango'],male,0
Oscar Aleman & Su Quinteto De Swing,Oscar Aleman & Su Quinteto De Swing,spotify:artist:1U3c7Izz1GAbMooNi9FV0o,0,['Tango'],male,0
Oscar Aleman Y Su Conjunto De Jazz,Oscar Aleman Y Su Conjunto De Jazz,spotify:artist:47PxlD6DGRFjHKrERgTiAc,0,['Tango'],male,0
Demoliendo Tangos,Demoliendo Tangos,spotify:artist:3IzqOwnHfqRre1A7QVueAs,0,"['Jazz', 'Rock']",NA,0
Mariana Kesselman,Mariana Kesselman,spotify:artist:13VXnxsHnlBRSFtBVb8Ziw,0,"['Jazz', 'Rock']",female,0
Sergio Villar,Sergio Villar,spotify:artist:2SXScHCHeC3dciUTXDJ9xT,1,['Rock'],male,9
Mariano Castro,Mariano Castro,spotify:artist:0zukmet3OBb7KkvJbT9yOi,10,"['Pop', 'Rock', 'Reggae']",NA,7
Pety,Pety,spotify:artist:1KIAFzs3T8c4RanxT9GjZL,20,"['Jazz', 'Rock', 'Reggae', 'Alternative']",male,7
Guillermo Bonetto,Guillermo Bonetto,spotify:artist:1rijasyRtILod4s1wmI78L,27,"['Pop', 'Rock', 'Reggae']",male,7
La Viajerita,La Viajerita,spotify:artist:2uCZ1HqK1cBvrv0oKrUSm2,1,['Alternative'],NA,6
Lula Bertoldi,Lula Bertoldi,spotify:artist:5WX7W5ESabcsJrPMHYkjNQ,22,"['Pop', 'Rock']",female,0
Egle Martin,Egle Martin,spotify:artist:54N4iMgYNsDT04np5qQwlw,0,['Folklore'],female,3
Sonia Alvarez,Sonia Alvarez,spotify:artist:4qeHReaMMuXAfrv9rFAPsj,20,['Folklore'],female,3
Patricia Da Dalt,Patricia Da Dalt,spotify:artist:5i0PuTK0hlwf8ehyEENMFS,0,['Tango'],female,0
