,nombre
974,Mariano Godoy
975,Mariano Loiacono
976,Mariano Loiácono
977,Mariano Lopez
978,Mariano Malamud
979,Mariano Martinez
980,Mariano Mores
981,Mariano Mores Y Su Sexteto
982,Mariano Otero
983,Mariano Sivori
984,Marilina Bertoldi
985,Marina Fages
986,Mario Alonso
987,Mario Clavell
988,Mario Demarco
989,Mario Fiocca
990,Mario Pomar
991,Mario Pomar Corrales
992,Mario Raskin
993,Martha Argerich
994,Martin Bruhn
995,Martin Podesta
996,"Martín ""Mono"" Fabio"
997,Martín Elizalde
998,Martín Pantyrer
999,Martín Podestá
1000,Martín Reznik
1001,Martín Vega
1002,Marya
1003,María Elena Walsh
1004,María Ezquiaga
1005,María Fernanda Aldana
1006,María Isabel Siewers
1007,María Luisa Anido
1008,María Martha Serra Lima
1009,María Rosa Yorio
1010,María Volonté
1011,Mateo Sujatovich
1012,Mati Zapata
1013,Matias Romero
1014,Matt Lasong
1015,Matías Méndez
1016,Mauricio Marcelli
1017,Mavi Díaz
1018,Maxi Pardo
1019,Maximo Diego Pujol
1020,Mechi Pieretti
1021,Mercedes Simone
1022,Mercedes Sosa
1023,Mery Granados
1024,Meteoros
1025,Mex Urtizberea
1026,Miau Trío
1027,Micaela Chauque
1028,Migue Garcia
1029,Migue Granados
1030,"Miguel ""Maikel"" de luna campos"
1031,Miguel Angel Tallarita
1032,Miguel Calo
1033,Miguel Cantilo
1034,Miguel Mateos - Zas
1035,Miguel Montero
1036,Miguel Zavaleta
1037,Mike Southside
1038,Milrayos
1039,Mimi Maura
1040,Miranda!
1041,Miriam García
1042,Mirtha Defilpo
1043,Miss Bolivia
1044,Monkey Kids
1045,Moris
1046,Motta Luna
1047,Muerejoven
1048,Muray
1049,Mya feat. Spice
1050,Mya feat. Stacie & Lacie
1051,Mya feat. Trina
1052,Mónica Abraham
1053,Mónica Cosachov
1054,NEGRO DUB
1055,Nacha Guevara
1056,Nacha Roldán
1057,Nacho Nacif
1058,Nación Ekeko
1059,Nadia Larcher
1060,Nahuel Briones
1061,Nahuel Pennisi
1062,Naiky Unic
1063,Narciso Saúl
1064,Natalia Margulis
1065,Natalia Pastorutti
1066,Natalie Perez
1067,Nayla Lebón
1068,Nelly Omar
1069,Nelly Vazquez
1070,Nelson Goerner
1071,Nene Bellako
1072,Neo Pistea
1073,Nestor Astarita
1074,Nestor En Bloque
1075,Nestor Fabian
1076,Nicki Nicole
1077,Nico Cota
1078,Nicolás Enrich
1079,Nicolás Guerschberg
1080,Nicolás Pauls
1081,Nina Suárez
1082,Nini Flores
1083,Nito Mestre
1084,Nolberto Al k la
1085,Nonpalidece
1086,Norberto Capelli
1087,Norberto Minichillo
1088,Néstor Marconi
1089,Néstor Marconi Octeto
1090,ODD MAMI
1091,ONIRIA
1092,Obie Wanshot
1093,Odino Faccia
1094,Olga Alba Barreto
1095,Olga Barboaza
1096,Olga Joukova
1097,Omar Mollo
1098,Omar Varela
1099,Onda Vaga
1100,Orlando Verri
1101,Orozco Barrientos
1102,Orquesta Estable del Teatro Colón
1103,Orquesta Filarmonica De Buenos Aires
1104,Orquesta Sinfónica Nacional Juvenil José de San Martín
1105,Orquesta Sinfónica Nacional de Paraguay
1106,Orquesta Sinfónica Nacional de la República Argentina
1107,Orquesta Tipica Porteña
1108,Orquesta Tipica Victor
1109,Orquesta Típica Porteña
1110,Ortega del Cerro
1111,Oscar Alem
1112,Oscar Aleman & Su Quinteto De Swing
1113,Oscar Aleman Y Su Conjunto De Jazz
1114,Oscar Bassil
1115,Oscar Belondi
1116,Oscar Castagniaro
1117,Oscar Feldman
1118,Oscar Ferrari
1119,Oscar Giunta
1120,Oscar Kreimer
1121,Oscar Larroca
1122,Oscar Lopez Ruiz
1123,Oscar López Ruiz
1124,Oscar Mediavilla
1125,Oscar Moro
1126,Oscar Rubens
1127,Oscar Serpa
1128,Osmar Maderna
1129,Osmar Maderna y su Orquesta Tipica
1130,Osvaldo Acedo
1131,Osvaldo Avena
1132,Osvaldo Berlingieri
1133,Osvaldo Berlingieri y su Orquesta
1134,Osvaldo Fresedo
1135,Osvaldo Fresedo O.T.
1136,Osvaldo Fresedo O.T. con Roberto Ray
1137,Osvaldo Golijov
1138,Osvaldo Manzi
1139,Osvaldo Pugliese
1140,Osvaldo Pugliese Orquesta
1141,Osvaldo Pugliese con Jorge Maciel y Miguel Montero
1142,"Osvaldo Pugliese, Jorge Maciel"
1143,Osvaldo Ramos
1144,Osvaldo Requena
1145,Osvaldo Ribo
1146,Osvaldo Ribó
1147,Osvaldo Ruggiero
1148,Pablo Agri
1149,Pablo Dacal
1150,Pablo Del Cerro
1151,Pablo Despeyroux
1152,Pablo Green
1153,Pablo Grinjot
1154,Pablo Lescano
1155,Pablo Lezcano
1156,Pablo Mainetti
1157,Pablo Molina
1158,Pablo Motta
1159,Pablo Márquez
1160,Pablo Paz
1161,Pablo Vidal
1162,Pablo Ziegler
1163,Paco Amoroso
1164,Palito Ortega
1165,Palo Pandolfo
1166,Paloma del Cerro
1167,Panther
1168,Papichamp
1169,Pappo
1170,Papu DJ
1171,Parcas
1172,Patricia Barone
1173,Patricia Da Dalt
1174,Patricia Lasala
1175,Patricia Sosa
1176,Paula Almerares
1177,Paula Balassanian
1178,Paula Maffia
1179,Paula Pomeraniec
1180,Paula Pomeraniek
1181,Paulina Fain
1182,Paulo Londra
1183,Paz Martínez
1184,Pedro Aznar
1185,Pedro Datta
1186,Pedro Lauga
1187,Pedro Laurenz
1188,Pedro Maffia
1189,Pedro Noda
1190,Pedro Rossi
1191,Pedro Saenz
1192,Pekeño 77
1193,Pepe Ferrer
1194,Percival Benedict Kahn
1195,Perotá Chingó
1196,Perro Primo
1197,Peteco Carabajal
1198,Pety
1199,Phunktastike
1200,Picnic
1201,Piero
1202,Pimpinela
1203,Piti Fernández
