numero,Id,Label,id_artista,popularidad,generos_musicales,genero
477,Zort,Zort,spotify:artist:3hjVUCo820MvbrZ1Y987XT,0,['glitch beats'],NA
478,Alberto Castillo,Alberto Castillo,spotify:artist:14KUc7zg3OndrAMbCNxPBD,37,"['tango', 'vintage tango']",male
479,Taty Almeida,Taty Almeida,spotify:artist:1lDrk9P7ZO7k5hLtJGeDIC,18,[],female
480,Ale Sergi,Ale Sergi,spotify:artist:6oKLWbs4OqvmeXnREk0flZ,35,[],male
481,Claudio Marciello,Claudio Marciello,spotify:artist:4gHjWV2oalYMkHYfBCt3Lr,21,"['argentine heavy metal', 'argentine metal', 'latin metal']",male
482,Attaque 77,Attaque 77,spotify:artist:5rI6C5mJm6GYXbGHhpHTu9,56,"['argentine punk', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",NA
483,Marya,Marya,spotify:artist:5bUQYOK1hZeaxSMRiPm6fo,2,[],NA
484,Rubén Juárez,Rubén Juárez,spotify:artist:4idyrAA6wZyU9umXHFoM9p,29,"['bandoneon', 'vintage tango']",male
485,Lo' Pibitos,Lo' Pibitos,spotify:artist:7f4QZ3v32jtmstrh7VHfJL,43,"['argentine indie', 'latin funk', 'rap conciencia']",NA
486,Lucas & The Woods,Lucas & The Woods,spotify:artist:4OIDWn0ASVx73rysnf6pqA,25,['argentine indie'],NA
487,Daniel Agostini,Daniel Agostini,spotify:artist:3NSJOyQdSXncJloHqhwlQB,54,['cumbia villera'],male
488,Los Chakales,Los Chakales,spotify:artist:643YpbScVr0u07i276NRiP,33,['cumbia villera'],NA
489,Bandalos Chinos,Bandalos Chinos,spotify:artist:0wn2qDKzeFlhjRUtJAwJjp,59,"['argentine alternative rock', 'argentine indie', 'latin rock']",NA
490,Chiara Parravicini,Chiara Parravicini,spotify:artist:7CAbOypVuQA9Rk7359TMas,26,['indie folk argentino'],female
491,Usted Señalemelo,Usted Señalemelo,spotify:artist:1a1v0OJC5GqtsLwzoqJm7j,50,"['argentine alternative rock', 'argentine indie', 'electronica argentina', 'latin rock', 'manso indie', 'pop electronico']",NA
492,Meteoros,Meteoros,spotify:artist:0i9C2rVWJ2UtTV6ZAixxmB,27,['pop argentino'],NA
493,Kid Munni,Kid Munni,spotify:artist:2HBcNkdZk8JzGkqlc7RsIL,30,['trap argentino'],NA
494,El príncipe idiota,El príncipe idiota,spotify:artist:5xEgsOYkENDU9TRoKMWW3u,29,"['argentine indie', 'latin rock', 'manso indie']",NA
495,Acus,Acus,spotify:artist:39DDfcoTv0v0HoZY1ZoPWp,19,['r&b argentino'],non-binary
496,Isla de Caras,Isla de Caras,spotify:artist:0GUxqzAYRCveTfqBLhojnF,41,['argentine indie'],NA
497,El Chacal & Los Alpes Floreados,El Chacal & Los Alpes Floreados,spotify:artist:6vtp1NouNva4jvDI2IqQey,22,['argentine indie'],NA
498,Gabo Ferro,Gabo Ferro,spotify:artist:085q57OvE341Q8n77AE9RT,38,"['argentine indie', 'argentine rock', 'rock nacional']",male
499,Emilia Wingeyer,Emilia Wingeyer,spotify:artist:7mYQKYwFRmr4MLDbpJdwaM,0,[],female
500,Quique Sinesi,Quique Sinesi,spotify:artist:3ugxBGVKHKCdUzIvzTUQze,21,['guitarra argentina'],male
501,Silvina López,Silvina López,spotify:artist:0LBa93wnHVvgipmc8jjk0m,10,[],female
502,Chancha Via Circuito,Chancha Via Circuito,spotify:artist:6E8vZ5lkpXbXlkgHhbVJSl,45,"['nu-cumbia', 'nuevo folklore argentino']",male
503,Agustín Guerrero,Agustín Guerrero,spotify:artist:5I59QojHd5nU2WGUVnfB8m,2,['nuevo tango'],male
504,Ramiro Flores,Ramiro Flores,spotify:artist:59YTycBxhexu6zRUAQas1t,21,['argentine jazz'],male
505,Aca Seca Trio,Aca Seca Trio,spotify:artist:6nvkqGQVDZLm0y1TxubrFA,30,"['folklore argentino', 'nuevo folklore argentino', 'rock nacional']",NA
506,Rodrigo Dominguez,Rodrigo Dominguez,spotify:artist:3j30jmYK2pIEgaw3ZTLyL2,2,[],male
507,Sergio Verdinelli,Sergio Verdinelli,spotify:artist:4ujhVf7VBbCNR8HaOnmg8x,6,[],male
508,"Gustavo ""Cuchi"" Leguizamon","Gustavo ""Cuchi"" Leguizamon",spotify:artist:3VKqXPG7o5b1JZ9vQSbdAH,4,[],male
509,Roberto Chanel,Roberto Chanel,spotify:artist:1Newv0kwOisVM6rtV7iiWL,22,['vintage tango'],male
510,Jorge Vidal,Jorge Vidal,spotify:artist:1UJLNPqfYGcW8KHxOgPqZj,20,"['tango', 'vintage tango']",male
511,Charlo,Charlo,spotify:artist:3Ry0Bx0jq7Z6nbzTfcsvkL,21,"['orquesta tipica', 'tango', 'vintage tango']",male
512,Edmundo Rivero,Edmundo Rivero,spotify:artist:6ULt24uY5oov72S2fY1qoi,34,"['tango', 'tango cancion', 'vintage tango']",male
513,Floreal Ruiz,Floreal Ruiz,spotify:artist:5MKgOzGl9pBQ1wgcWL88hJ,24,"['tango', 'vintage tango']",male
514,Alberto Echagüe,Alberto Echagüe,spotify:artist:659t7L9mu8Kfk0JquBRXFM,27,"['tango', 'vintage tango']",male
515,Ángel Vargas,Ángel Vargas,spotify:artist:0lijBCtqeBFaXAelsddgIA,27,"['tango', 'vintage tango']",male
516,Raul Iriarte,Raul Iriarte,spotify:artist:0BVutgpayh84Z50y8GyhaJ,20,['vintage tango'],male
517,Carlos Gardel,Carlos Gardel,spotify:artist:05Q9xndTxhXhD5trpmTtfU,48,"['latin classical', 'tango']",male
